# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4558
#@/user_id	264d1fbf-0cd3-4191-8dba-a79a7265bcfc
a 	工	c=16 d=1.02005 t=6347
aa 	式	c=1 d=1 t=7183
aah 	芽	c=3 d=2.81911 t=4557
aatk 	工程	c=2 d=0.101724 t=4868
aaum 	工商	c=2 d=1 t=5758
ab 	节	c=4 d=2.69182 t=4797
addb 	基础	c=1 d=1 t=5200
addn 	茂盛	c=3 d=1.57349 t=6031
adpu 	其实	c=4 d=1 t=6961
adql 	项链	c=1 d=1 t=5072
adsg 	基本	c=4 d=2.70762 t=4402
aes 	菜	c=1 d=1 t=1502
afbb 	鞋子	c=1 d=1 t=5948
ag 	七	c=2 d=1.38098 t=6033
agjs 	苹果	c=5 d=3.20568 t=6966
ago 	莱	c=3 d=1.92828 t=6024
ah 	牙	c=1 d=1 t=4538
ai 	东	c=5 d=1.00264 t=4643
aisg 	东西	c=15 d=1.00072 t=7260
ait 	落	c=1 d=1 t=4755
aiux 	东北	c=1 d=1 t=6648
aiwx 	东华	c=1 d=1 t=3544
ajt 	蓝	c=3 d=1.2974 t=4901
ajte 	划船	c=1 d=1 t=21
ak 	或	c=1 d=1 t=6053
akft 	或者	c=7 d=1.7298 t=6914
alce 	功能	c=1 d=1 t=6979
alw 	苏	c=2 d=1.0001 t=4430
alyt 	苏州	c=2 d=1.79057 t=6011
amd 	英	c=11 d=2.31207 t=4384
amos 	黄灯	c=1 d=1 t=5667
amqq 	黄金	c=1 d=1 t=5887
amyy 	英文	c=1 d=1 t=4877
ap 	芝	c=2 d=1.00002 t=4759
apk 	营	c=1 d=1 t=6715
apog 	营业	c=1 d=1 t=2885
aq 	区	c=6 d=1.83171 t=5596
aqaq 	葡萄	c=2 d=1.99501 t=2289
aqo 	菊	c=1 d=1 t=2658
aqoy 	苞米	c=1 d=1 t=2657
aqq 	欧	c=1 d=1 t=4516
av 	切	c=1 d=1 t=4637
awdh 	共存	c=1 d=1 t=1107
awx 	花	c=4 d=1.90484 t=4431
ax 	药	c=1 d=1 t=452
ayjs 	芒果	c=2 d=1.99501 t=565
b 	了	c=287 d=6.07504 t=5902
bb 	子	c=32 d=1.85461 t=6855
bc 	取	c=1 d=1 t=3198
bcii 	取消	c=3 d=2.04491 t=5239
bdrj 	承担	c=1 d=1 t=5982
bduj 	随意	c=1 d=1 t=4597
